Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	shelled
Syrian troops hit a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	rebel-held
Syrian troops shelled a second town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	sparking
Syrian troops shelled a rebel-held town on Monday, with intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	sparking intense
Syrian troops shelled a rebel-held town on Monday, and clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	sparking intense clashes
Syrian troops shelled a rebel-held town on Monday, and that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	intense
Syrian troops shelled a rebel-held town on Monday, sparking more clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	intense clashes
Syrian troops shelled a rebel-held town on Monday, sparking fighting that sent bloodied victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	bloodied
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent the victims flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	clashes
Syrian troops shelled a rebel-held town on Monday, sparking intense fighting that sent bloodied victims flooding into hospitals and clinics, activists said.	negative
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	bloodied victims
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent more flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	victims
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied people flooding into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	flooding
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flood into hospitals and clinics, activists said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	activists
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, they said.	true
 
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospitals and clinics, activists said.	hospitals
Syrian troops shelled a rebel-held town on Monday, sparking intense clashes that sent bloodied victims flooding into hospital and clinics, activists said.	negative
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	violence
The fight in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	restive
The violence in Rastan, in the weak central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	province
The violence in Rastan, in the restive central Homs city, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	elsewhere
The violence in Rastan, in the restive central Homs province, and all around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	eroding
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is affecting an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	internationally
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an international brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	negative
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	internationally brokered
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an international peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	internationally brokered peace plan
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an idea that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	brokered
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally made peace plan that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	brokered peace plan
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally made that many observers see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	observers
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many others see as the last hope to calm the 14-month-old crisis.	true
 
The violence in Rastan, in the restive central Homs province, and elsewhere around the country is eroding an internationally brokered peace plan that many observers see as the last hope to calm the 14-month-old crisis.	crisis
